product_code,product_label,angle,distance_m,lower_dbsm,upper_dbsm
pedistrain,假人,common,3.0,-14.119005847953215,-4.119005847953219
pedistrain,假人,common,5.0,-12.649191606467145,-2.6491916064671504
pedistrain,假人,common,7.0,-11.350752493980043,-1.3507524939800506
pedistrain,假人,common,9.0,-10.212641898864803,-0.21264189886481066
pedistrain,假人,common,11.0,-9.223813209494315,0.7761867905056752
pedistrain,假人,common,13.0,-8.373219814241477,1.6267801857585145
pedistrain,假人,common,15.0,-7.6498151014791755,2.3501848985208103
pedistrain,假人,common,17.0,-7.042552459580312,2.957447540419679
pedistrain,假人,common,19.0,-6.540385276917771,3.4596147230822147
pedistrain,假人,common,21.0,-6.132266941864453,3.867733058135535
pedistrain,假人,common,23.0,-5.807150842793245,4.192849157206744
pedistrain,假人,common,25.0,-5.553990368077043,4.446009631922944
pedistrain,假人,common,27.0,-5.361738906088739,4.6382610939112485
pedistrain,假人,common,29.0,-5.219349845201229,4.780650154798762
pedistrain,假人,common,31.0,-5.115776573787402,4.884223426212589
pedistrain,假人,common,33.0,-5.039972480220152,4.960027519779834
pedistrain,假人,common,35.0,-5.0,5.0
pedistrain,假人,common,37.0,-5.0,5.0
pedistrain,假人,common,39.0,-5.0,5.0
pedistrain,假人,common,41.0,-5.0,5.0
pedistrain,假人,common,43.0,-5.0,5.0
pedistrain,假人,common,45.0,-5.0,5.0
pedistrain,假人,common,47.0,-5.0,5.0
pedistrain,假人,common,49.0,-5.0,5.0
pedistrain,假人,common,51.0,-5.0,5.0
toddler,幼儿,common,2.0,-20.856120324434176,-10.868945972039842
toddler,幼儿,common,2.1,-20.779000551056296,-10.785537319221547
toddler,幼儿,common,2.2,-20.702024964540428,-10.70237144912036
toddler,幼儿,common,2.3000000000000003,-20.625194708047736,-10.61944892824025
toddler,幼儿,common,2.4000000000000004,-20.5485109247394,-10.536770323085175
toddler,幼儿,common,2.5000000000000004,-20.471974757776582,-10.454336200159108
toddler,幼儿,common,2.6000000000000005,-20.395587350320458,-10.37214712596601
toddler,幼儿,common,2.7000000000000006,-20.31934984553219,-10.290203667009846
toddler,幼儿,common,2.8000000000000007,-20.243263386572956,-10.208506389794584
toddler,幼儿,common,2.900000000000001,-20.167329116603923,-10.12705586082419
toddler,幼儿,common,3.000000000000001,-20.09154817878626,-10.045852646602622
toddler,幼儿,common,3.100000000000001,-20.01592171628114,-9.964897313633855
toddler,幼儿,common,3.200000000000001,-19.940450872249734,-9.884190428421848
toddler,幼儿,common,3.300000000000001,-19.865136789853203,-9.803732557470568
toddler,幼儿,common,3.4000000000000012,-19.789980612252727,-9.723524267283981
toddler,幼儿,common,3.5000000000000013,-19.714983482609473,-9.643566124366052
toddler,幼儿,common,3.6000000000000014,-19.640146544084608,-9.563858695220746
toddler,幼儿,common,3.7000000000000015,-19.565470939839308,-9.48440254635203
toddler,幼儿,common,3.8000000000000016,-19.49095781303474,-9.405198244263865
toddler,幼儿,common,3.9000000000000017,-19.41660830683207,-9.32624635546022
toddler,幼儿,common,4.000000000000002,-19.342423564392476,-9.24754744644506
toddler,幼儿,common,4.100000000000001,-19.268404728877123,-9.169102083722349
toddler,幼儿,common,4.200000000000002,-19.194552943447178,-9.090910833796052
toddler,幼儿,common,4.3000000000000025,-19.12086935126382,-9.012974263170136
toddler,幼儿,common,4.400000000000002,-19.047355095488214,-8.935292938348567
toddler,幼儿,common,4.500000000000002,-18.97401131928153,-8.857867425835309
toddler,幼儿,common,4.600000000000002,-18.900839165804936,-8.780698292134327
toddler,幼儿,common,4.700000000000003,-18.827839778219605,-8.703786103749586
toddler,幼儿,common,4.8000000000000025,-18.755014299686707,-8.62713142718505
