timestamp,relative_time_s,run_key,run_label,tracking_mode,segment_index,speed_sign,speed_mps,nominal_speed_abs_mps,lookahead_base_m,arrival_dist_m,slow_down_dist_m,stanley_gain,stanley_softening_distance_m,stanley_term_rad,lateral_pid_kp,lateral_pid_ki,lateral_pid_kd,heading_pid_kp,heading_pid_ki,heading_pid_kd,yaw_rate_pid_kp,yaw_rate_pid_ki,yaw_rate_pid_kd,cmd_v_mps,cmd_w_radps,desired_v_mps,desired_w_radps,feedback_v_mps,feedback_w_radps,lateral_error_m,stanley_lateral_pd_output_radps,heading_error_rad,yaw_rate_error_radps,lateral_pid_output_radps,heading_pid_output_radps,yaw_rate_pid_output_radps,path_curvature_inv_m,path_ff_w_radps,profile_speed_mps,path_s_m,dist_to_goal_m,pose_age_s,segment_kind,segment_trajectory_name,motion_direction
1775478973.282966,0.000000,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.024589,0.002723,1.499922,0.002723,0.000000,0.000000,-0.000044,,0.000013,0.000000,,,,0.027225,0.002732,1.500000,0.000000,56.543307,0.000000,circle,预设轨迹15,forward
1775478973.318112,0.035146,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.048774,0.002767,1.499854,0.003097,0.000000,0.000000,-0.000088,,0.000022,0.000000,,,,0.027665,0.005420,1.500000,0.000089,56.543218,0.000000,circle,预设轨迹15,forward
1775478973.345941,0.062975,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.072561,0.002886,1.499805,0.003778,0.000000,0.000000,-0.000127,,0.000025,0.000000,,,,0.028856,0.008063,1.500000,0.000183,56.543124,0.000000,circle,预设轨迹15,forward
1775478973.369717,0.086751,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.095956,0.003043,1.499651,0.004228,0.000000,0.000000,-0.000205,,0.000054,0.000000,,,,0.030435,0.010663,1.500000,0.000371,56.542936,0.000000,circle,预设轨迹15,forward
1775478973.405296,0.122330,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.118966,0.003292,1.499596,0.005154,0.000000,0.000000,-0.000245,,0.000059,0.000000,,,,0.027670,0.013220,1.500000,0.000461,56.542845,0.000000,circle,预设轨迹15,forward
1775478973.426063,0.143097,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.141597,0.003568,1.499446,0.005643,0.000000,0.000000,-0.000328,,0.000085,0.000000,,,,0.025201,0.015735,1.500000,0.000646,56.542661,0.000000,circle,预设轨迹15,forward
1775478973.446859,0.163893,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.163856,0.003933,1.499369,0.006666,0.000000,0.000000,-0.000366,,0.000100,0.000000,,,,0.024002,0.018208,1.500000,0.000738,56.542569,0.000000,circle,预设轨迹15,forward
1775478973.467195,0.184229,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.185748,0.004347,1.499304,0.007450,0.000000,0.000000,-0.000408,,0.000109,0.000000,,,,0.023400,0.020641,1.500000,0.000833,56.542474,0.000000,circle,预设轨迹15,forward
1775478973.489688,0.206722,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.207281,0.004810,1.499225,0.008282,0.000000,0.000000,-0.000448,,0.000124,0.000000,,,,0.023203,0.023033,1.500000,0.000928,56.542379,0.000000,circle,预设轨迹15,forward
1775478973.510311,0.227345,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.228459,0.005320,1.499164,0.009148,0.000000,0.000000,-0.000486,,0.000132,0.000000,,,,0.023286,0.025387,1.500000,0.001022,56.542284,0.000000,circle,预设轨迹15,forward
1775478973.541088,0.258122,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.249290,0.005875,1.499110,0.010037,0.000000,0.000000,-0.000522,,0.000139,0.000000,,,,0.023566,0.027701,1.500000,0.001120,56.542187,0.000000,circle,预设轨迹15,forward
1775478973.561869,0.278903,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.269776,0.006438,1.498968,0.010662,0.000000,0.000000,-0.000604,,0.000162,0.000000,,,,0.023864,0.029978,1.500000,0.001327,56.541980,0.000000,circle,预设轨迹15,forward
1775478973.587103,0.304137,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.289925,0.007069,1.498893,0.011803,0.000000,0.000000,-0.000646,,0.000175,0.000000,,,,0.024383,0.032217,1.500000,0.001431,56.541875,0.000000,circle,预设轨迹15,forward
1775478973.607409,0.324444,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.309744,0.007739,1.498834,0.012759,0.000000,0.000000,-0.000684,,0.000182,0.000000,,,,0.024984,0.034419,1.500000,0.001538,56.541768,0.000000,circle,预设轨迹15,forward
1775478973.633838,0.350872,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.329237,0.008469,1.498834,0.013946,0.000000,0.000000,-0.000684,,0.000182,0.000000,,,,0.025723,0.036585,1.500000,0.001538,56.541768,0.000000,circle,预设轨迹15,forward
1775478973.654396,0.371430,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.348408,0.009179,1.498672,0.014506,0.000000,0.000000,-0.000756,,0.000217,0.000000,,,,0.026346,0.038716,1.500000,0.001752,56.541555,0.000000,circle,预设轨迹15,forward
1775478973.678881,0.395915,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.367263,0.009935,1.498584,0.015601,0.000000,0.000000,-0.000809,,0.000231,0.000000,,,,0.027051,0.040811,1.500000,0.001857,56.541449,0.000000,circle,预设轨迹15,forward
1775478973.699910,0.416944,1775479021.961316|完整运动,完整运动,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.385802,0.010597,1.498098,0.015565,0.000000,0.000000,-0.001035,,0.000333,0.000000,,,,0.027468,0.042871,1.500000,0.002869,56.540437,0.000000,circle,预设轨迹15,forward
